EQUIPO,PART,MIN,PT,T2,T3,TC,TL,RO,RD,RT,AS,BR,BP,TF,TC,MT,FC,FR,VA,Temporada,Liga
LOINTEK GERNIKA BIZKAIA,26,5275,1845,524/1103,169/545,693/1648,290/404,238,670,908,410,211,314,45,47,0,448,420,1961,2018/2019,LF Endesa
VALENCIA B.C.,26,5250,1766,584/1208,112/359,696/1567,262/370,211,716,927,423,188,361,50,41,0,442,409,1940,2018/2019,LF Endesa
PERFUMERIAS AVENIDA,26,5200,1945,581/1128,195/512,776/1640,198/277,235,701,936,463,288,381,65,48,0,351,379,2353,2018/2019,LF Endesa
MANN-FILTER CASABLANCA,26,5200,1565,470/1167,124/414,594/1581,253/337,198,600,798,292,242,332,31,58,0,344,407,1530,2018/2019,LF Endesa
RPK ARASKI,26,5225,1608,434/1062,167/561,601/1623,239/331,213,584,797,327,210,347,27,40,0,393,393,1468,2018/2019,LF Endesa
SPAR CITYLIFT GIRONA,26,5200,2036,579/1216,187/499,766/1715,317/398,300,706,1006,385,245,385,74,36,0,423,425,2297,2017/2018,LF Endesa
MANN-FILTER,26,5200,1888,566/1147,141/449,707/1596,333/461,202,632,834,382,260,333,52,44,0,432,468,2058,2017/2018,LF Endesa
STAR CENTER-UNI FERROL,26,5250,1900,485/973,237/685,722/1658,219/310,210,645,855,375,189,291,45,35,0,376,389,2024,2017/2018,LF Endesa
CAMPUS PROMETE LF1,26,5225,1638,529/1214,107/421,636/1635,259/343,267,676,943,326,174,434,53,49,0,426,424,1566,2017/2018,LF Endesa
IDK GIPUZKOA,26,5200,1702,567/1198,91/312,658/1510,295/420,207,725,932,345,166,407,44,60,0,427,435,1753,2017/2018,LF Endesa
LACTURALE ART ARASKI,26,5225,1642,477/1161,138/486,615/1647,274/375,212,600,812,292,256,350,42,51,0,440,415,1485,2017/2018,LF Endesa
PERFUMERIAS AVENIDA,26,5200,1973,604/1164,161/463,765/1627,282/372,261,642,903,446,263,348,64,38,0,430,396,2277,2017/2018,LF Endesa
MOVISTAR ESTUDIANTES,26,5200,1613,504/1226,129/458,633/1684,218/307,258,596,854,316,182,381,44,40,1,508,412,1352,2017/2018,LF Endesa
CADI LA SEU,26,5225,1822,477/1039,195/608,672/1647,283/372,260,561,821,336,253,352,38,48,0,416,438,1828,2017/2018,LF Endesa
SNATT'S FEMENI SANT ADRIA,26,5225,1769,486/1075,176/638,662/1713,269/380,272,613,885,232,233,345,33,28,0,472,437,1582,2017/2018,LF Endesa
QUESOS EL PASTOR,26,5200,1687,481/1122,157/541,638/1663,254/358,246,586,832,261,179,343,30,65,0,416,402,1438,2017/2018,LF Endesa
LOINTEK GERNIKA BIZKAIA,26,5250,1923,564/1109,169/440,733/1549,288/440,217,678,895,380,169,365,25,52,0,433,477,2051,2017/2018,LF Endesa
NISSAN AL-QÁZERES EXTREMADURA,26,5225,1754,516/1123,153/478,669/1601,263/352,251,626,877,275,199,379,39,52,0,388,415,1719,2017/2018,LF Endesa
EMBUTIDOS PAJARIEL BEMBIBRE PDM,26,5225,1693,493/1099,159/520,652/1619,230/316,193,624,817,323,191,369,80,52,0,372,406,1664,2017/2018,LF Endesa
IDK GIPUZKOA,26,5250,1743,542/1056,110/376,652/1432,329/444,187,652,839,402,221,469,46,32,0,447,481,1889,2016/2017,LF Endesa
CADI LA SEU,26,5250,1662,490/1038,134/456,624/1494,280/388,228,567,795,338,258,419,61,55,0,451,461,1672,2016/2017,LF Endesa
LOINTEK GERNIKA BIZKAIA,26,5225,1696,490/1059,161/452,651/1511,233/343,219,604,823,327,248,332,41,27,0,426,419,1799,2016/2017,LF Endesa
STAR CENTER-UNI FERROL,26,5225,1742,482/1048,170/556,652/1604,268/392,254,581,835,305,201,330,42,45,0,385,453,1742,2016/2017,LF Endesa
SPAR GRAN CANARIA,26,5250,1619,530/1290,99/402,629/1692,262/401,342,644,986,270,193,423,53,48,0,467,442,1423,2016/2017,LF Endesa
PERFUMERIAS AVENIDA,26,5200,1889,624/1180,122/378,746/1558,275/379,236,574,810,402,324,370,64,40,0,467,436,2132,2016/2017,LF Endesa
EMBUTIDOS PAJARIEL BEMBIBRE PDM,26,5200,1682,506/1092,144/491,650/1583,238/321,169,609,778,307,177,330,48,28,0,394,424,1648,2016/2017,LF Endesa
MANN-FILTER,26,5275,1706,450/1034,181/558,631/1592,263/379,257,595,852,286,199,359,62,47,0,487,431,1566,2016/2017,LF Endesa
LACTURALE ARASKI,26,5250,1634,463/1104,154/539,617/1643,246/362,260,592,852,296,235,384,47,42,0,415,413,1494,2016/2017,LF Endesa
C.B. AL-QÁZERES EXTREMADURA,26,5225,1755,574/1276,112/374,686/1650,271/360,249,622,871,304,190,388,58,54,0,429,431,1685,2016/2017,LF Endesa
SPAR CITYLIFT GIRONA,26,5200,1978,547/1118,193/535,740/1653,305/417,286,689,975,413,243,445,60,47,0,423,470,2199,2016/2017,LF Endesa
CAMPUS PROMETE LF1,26,5200,1792,527/1093,158/507,685/1600,264/351,198,664,862,353,164,416,23,41,0,478,441,1698,2016/2017,LF Endesa
C.R.E.F. ¡HOLA!,26,5225,1603,498/1291,117/398,615/1689,256/412,329,597,926,249,178,407,19,41,0,478,468,1287,2016/2017,LF Endesa
QUESOS EL PASTOR,26,5225,1666,530/1215,112/393,642/1608,270/387,254,585,839,301,244,408,40,60,0,470,429,1498,2016/2017,LF Endesa
QUESOS EL PASTOR DE LA POLVOROSA,26,5200,1718,484/1125,144/478,628/1603,318/424,254,621,875,331,207,425,71,35,0,487,459,1633,2015/2016,LF Endesa
SPAR GRAN CANARIA,26,5200,1745,500/1252,131/507,631/1759,352/499,349,649,998,258,194,370,57,50,0,492,463,1528,2015/2016,LF Endesa
AÑARES RIOJA ISB,26,5200,1528,405/1043,148/555,553/1598,274/424,220,497,717,246,276,475,17,77,0,479,476,1034,2015/2016,LF Endesa
IDK GIPUZKOA,26,5250,1635,505/1148,111/390,616/1538,292/378,206,623,829,359,186,394,50,46,0,446,463,1628,2015/2016,LF Endesa
EMBUTIDOS PAJARIEL BEMBIBRE PDM,26,5225,1633,458/990,148/500,606/1490,273/363,182,600,782,330,167,368,44,35,0,396,444,1627,2015/2016,LF Endesa
CADI LA SEU,26,5225,1841,524/1128,147/521,671/1649,352/456,247,518,765,307,280,376,46,41,0,446,512,1806,2015/2016,LF Endesa
PERFUMERIAS AVENIDA,26,5200,2019,605/1150,170/446,775/1596,299/404,264,658,922,422,262,424,70,26,0,432,438,2325,2015/2016,LF Endesa
